orbit	term_id	term_label	pValue	fdr	fold_enrichment	expected	number_in_list	number_in_reference	plus_minus
1	GO:0016491	oxidoreductase activity	3.2520885760170087e-31	4.289504831766434e-28	7.391715622821866	6.629042904290429	49	332	+
1	GO:0016209	antioxidant activity	3.0290258952962914e-31	7.990570311791617e-28	34.43181818181818	0.638943894389439	22	32	+
1	GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	8.177069859397369e-20	7.190370096363419e-17	22.405393649412787	0.7587458745874588	17	38	+
1	GO:0004601	peroxidase activity	3.2816363575900652e-19	1.7313913422645184e-16	36.170798898071624	0.3594059405940594	13	18	+
1	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3.2816363575900652e-19	2.164239177830648e-16	36.170798898071624	0.3594059405940594	13	18	+
1	GO:0140824	thioredoxin-dependent peroxiredoxin activity	2.003865664666041e-14	7.551710890555738e-12	50.08264462809917	0.15973597359735975	8	8	+
1	GO:0003824	catalytic activity	1.760123281881648e-14	7.738675362672979e-12	1.8850610467376936	46.68283828382838	88	2338	+
1	GO:0015036	disulfide oxidoreductase activity	5.3738119999933935e-14	1.7720145069978214e-11	21.463990554899645	0.5590759075907591	12	28	+
1	GO:0051920	peroxiredoxin activity	1.7735469342860951e-13	5.198463125163021e-11	44.51790633608815	0.1797029702970297	8	9	+
1	GO:0008379	thioredoxin peroxidase activity	2.923715842283669e-09	7.71276239194432e-07	50.082644628099175	0.09983498349834984	5	5	+
1	GO:0004032	aldose reductase (NADPH) activity	1.7262236393297063e-08	4.1397981459561495e-06	41.735537190082646	0.1198019801980198	5	6	+
1	GO:0004602	glutathione peroxidase activity	5.945358180014672e-08	1.3069879065732255e-05	35.773317591499406	0.13976897689768977	5	7	+
1	GO:0036094	small molecule binding	1.2914973957171687e-07	2.6207462537706854e-05	1.7896968109176652	34.64273927392739	62	1735	+
1	GO:0015038	glutathione disulfide oxidoreductase activity	1.5601342120607343e-07	2.9397386081544406e-05	31.301652892561982	0.15973597359735975	5	8	+
1	GO:0043167	ion binding	2.9812789545874126e-07	5.2430759214677296e-05	1.7865390473757135	33.58448844884489	60	1682	+
1	GO:0016530	metallochaperone activity	3.4543153313697036e-07	5.695302402595799e-05	27.823691460055098	0.1797029702970297	5	9	+
1	GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	6.79847941965054e-07	0.00010549640417081248	25.041322314049587	0.19966996699669967	5	10	+
1	GO:0016531	copper chaperone activity	7.44972792220635e-07	0.00010917990143766863	40.06611570247934	0.09983498349834984	4	5	+
1	GO:0051537	2 iron, 2 sulfur cluster binding	1.2279871427546893e-06	0.00017049632013615106	15.81557198782079	0.3793729372937294	6	19	+
1	GO:0016651	oxidoreductase activity, acting on NAD(P)H	2.3653356498047534e-06	0.00031198777220924697	10.955578512396693	0.638943894389439	7	32	+
1	GO:0008106	alcohol dehydrogenase (NADP+) activity	3.308744371258134e-06	0.00039674852960813446	19.262555626191986	0.2595709570957096	5	13	+
1	GO:0004033	aldo-keto reductase (NADPH) activity	3.308744371258134e-06	0.00041564131673233135	19.262555626191986	0.2595709570957096	5	13	+
1	GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity	7.768027101585306e-06	0.0008909589345209582	50.082644628099175	0.0599009900990099	3	3	+
1	GO:0004683	calcium/calmodulin-dependent protein kinase activity	3.0618107813086574e-05	0.0032308227364368954	37.56198347107438	0.07986798679867987	3	4	+
1	GO:0004362	glutathione-disulfide reductase (NADPH) activity	3.0618107813086574e-05	0.0033654403504550993	37.56198347107438	0.07986798679867987	3	4	+
1	GO:0050661	NADP binding	3.562730814384221e-05	0.003614801495517529	12.520661157024794	0.39933993399339934	5	20	+
1	GO:0005516	calmodulin binding	5.860716346132349e-05	0.005521632043248978	11.382419233658903	0.4392739273927393	5	22	+
1	GO:0050660	flavin adenine dinucleotide binding	5.6559800247213654e-05	0.00552610196489443	8.58559622195986	0.6988448844884488	6	35	+
1	GO:0004784	superoxide dismutase activity	7.542781034419487e-05	0.006418663344773745	30.049586776859503	0.09983498349834984	3	5	+
1	GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor	7.542781034419487e-05	0.006632618789599536	30.049586776859503	0.09983498349834984	3	5	+
1	GO:0018455	alcohol dehydrogenase [NAD(P)+] activity	7.369822994520145e-05	0.00670399760673936	10.887531440891125	0.45924092409240924	5	23	+
2	GO:0016491	oxidoreductase activity	3.2520885760170087e-31	4.289504831766434e-28	7.391715622821866	6.629042904290429	49	332	+
2	GO:0016209	antioxidant activity	3.0290258952962914e-31	7.990570311791617e-28	34.43181818181818	0.638943894389439	22	32	+
2	GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	8.177069859397369e-20	7.190370096363419e-17	22.405393649412787	0.7587458745874588	17	38	+
2	GO:0004601	peroxidase activity	3.2816363575900652e-19	1.7313913422645184e-16	36.170798898071624	0.3594059405940594	13	18	+
2	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3.2816363575900652e-19	2.164239177830648e-16	36.170798898071624	0.3594059405940594	13	18	+
2	GO:0140824	thioredoxin-dependent peroxiredoxin activity	2.003865664666041e-14	7.551710890555738e-12	50.08264462809917	0.15973597359735975	8	8	+
