id1,id2,geneName1,geneName2
BSU_13180,BSU_29740,metE,ccpA
BSU_13180,BSU_21860,metE,brxA
BSU_13180,BSU_23990,metE,brxB
BSU_29740,BSU_40100,ccpA,ahpF
BSU_29740,BSU_40090,ccpA,ahpC
BSU_29470,BSU_29740,ackA,ccpA
BSU_12420,BSU_29740,yjoB,ccpA
BSU_12420,BSU_21860,yjoB,brxA
BSU_40090,BSU_40100,ahpC,ahpF
BSU_11500,BSU_25200,spxA,sigA
BSU_08720,BSU_29470,ygaF,ackA
BSU_08820,BSU_12420,katA,yjoB
BSU_08820,BSU_39050,katA,katE
BSU_08820,BSU_38630,katA,katX
BSU_38630,BSU_39050,katX,katE
BSU_13150,BSU_21860,ohrR,brxA
BSU_13150,BSU_23990,ohrR,brxB
BSU_29740,BSU_13180,ccpA,metE
BSU_21860,BSU_13180,brxA,metE
BSU_23990,BSU_13180,brxB,metE
BSU_40100,BSU_29740,ahpF,ccpA
BSU_40090,BSU_29740,ahpC,ccpA
BSU_29740,BSU_29470,ccpA,ackA
BSU_29740,BSU_12420,ccpA,yjoB
BSU_21860,BSU_12420,brxA,yjoB
BSU_40100,BSU_40090,ahpF,ahpC
BSU_25200,BSU_11500,sigA,spxA
BSU_29470,BSU_08720,ackA,ygaF
BSU_12420,BSU_08820,yjoB,katA
BSU_39050,BSU_08820,katE,katA
BSU_38630,BSU_08820,katX,katA
BSU_39050,BSU_38630,katE,katX
BSU_21860,BSU_13150,brxA,ohrR
BSU_23990,BSU_13150,brxB,ohrR
