id1,id2,geneName1,geneName2
BSU_04730,BSU_38630,sigB,katX
BSU_04730,BSU_29760,sigB,brxC
BSU_04730,BSU_11500,sigB,spx
BSU_04730,BSU_39050,sigB,katE
BSU_04730,BSU_04730,sigB,sigB
BSU_29740,BSU_29470,ccpA,ackA
BSU_29740,BSU_04730,ccpA,sigB
BSU_25760,BSU_17970,sigK,cotM
BSU_25760,BSU_28410,sigK,gerE
BSU_25760,BSU_25760,sigK,sigK
BSU_00370,BSU_14220,abrB,ahpA
BSU_00370,BSU_15320,abrB,sigE
BSU_00370,BSU_00370,abrB,abrB
BSU_15320,BSU_17970,sigE,cotM
BSU_15320,BSU_25760,sigE,sigK
BSU_11500,BSU_21680,spx,msrB
BSU_11500,BSU_21690,spx,msrA
BSU_25200,BSU_11500,sigA,spx
BSU_25200,BSU_08730,sigA,perR
BSU_25200,BSU_40100,sigA,ahpF
BSU_25200,BSU_40090,sigA,ahpC
BSU_25200,BSU_29740,sigA,ccpA
BSU_25200,BSU_13150,sigA,ohrR
BSU_25200,BSU_13140,sigA,ohrA
BSU_25200,BSU_00370,sigA,abrB
BSU_25200,BSU_29470,sigA,ackA
BSU_25200,BSU_15320,sigA,sigE
BSU_25200,BSU_04730,sigA,sigB
BSU_25200,BSU_21680,sigA,msrB
BSU_25200,BSU_21690,sigA,msrA
BSU_25200,BSU_25200,sigA,sigA
BSU_28410,BSU_25760,gerE,sigK
BSU_28410,BSU_17970,gerE,cotM
BSU_13150,BSU_13140,ohrR,ohrA
BSU_08730,BSU_11500,perR,spx
BSU_08730,BSU_08820,perR,katA
BSU_08730,BSU_40090,perR,ahpC
BSU_08730,BSU_40100,perR,ahpF
BSU_08730,BSU_08730,perR,perR
