orbit	term_id	term_label	pValue	fdr	fold_enrichment	expected	number_in_list	number_in_reference	plus_minus
0	GO:0016209	antioxidant activity	2.261527079840684e-27	6.137784494687616e-24	103.72863620509243	0.14460809038636135	15	47	+
0	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	2.1416548868777425e-18	1.9374837876620646e-15	101.56762295081967	0.09845657217794815	10	32	+
0	GO:0004601	peroxidase activity	1.475842705903202e-18	2.002718551910645e-15	104.84399788471708	0.09537980429738727	10	31	+
0	GO:0016491	oxidoreductase activity	1.2906863954356108e-16	8.75730719303062e-14	11.733443806592886	1.7045294058307274	20	554	+
0	GO:0005488	binding	1.2243001069550178e-15	6.645500980551837e-13	2.7122369411067284	17.69756884898618	48	5752	+
0	GO:0043167	ion binding	7.60603879135386e-15	3.44046487995573e-12	3.8312345003059676	9.396449107232927	36	3054	+
0	GO:0036094	small molecule binding	2.092910171736222e-14	8.114511722988724e-12	3.7109388404485966	9.701049127408455	36	3153	+
0	GO:0003824	catalytic activity	3.745162824782122e-14	1.2705464883073348e-11	3.0782333405284223	13.319328154948048	41	4329	+
0	GO:0043169	cation binding	7.207065740710836e-14	2.173330713365468e-11	4.757938117029815	6.095077171391103	29	1981	+
0	NA	UNCLASSIFIED	1.6614238511061986e-13	4.099185756274748e-11	0.1300065573770492	30.767678805608796	4	10000	-
0	GO:0003674	molecular_function	1.6614238511010406e-13	4.509104331888224e-11	1.8853993920445256	30.232321194391204	57	9826	+
0	GO:0046872	metal ion binding	4.3122185969498235e-13	9.752801060101518e-11	4.6502090017340025	6.021234742257642	28	1957	+
0	GO:0106310	protein serine kinase activity	7.245739776897784e-09	1.512687519576968e-06	19.54985825218785	0.40921012811459695	8	133	+
0	GO:0005515	protein binding	1.659780421705759e-08	3.2176029032210213e-06	3.465301396100822	6.92580449914254	24	2251	+
0	GO:0042803	protein homodimerization activity	9.425777099796017e-08	1.7054372699230926e-05	43.9211342490031	0.11384041158075255	5	37	+
0	GO:0140297	DNA-binding transcription factor binding	1.2191293972697477e-07	2.0679482401188094e-05	25.659188955996548	0.23383435892262686	6	76	+
